구분번호,발생년월,주야,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령대,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령대,피해운전자 상해정도
2019005151,2019년 1월,주간,경상북도 포항시 남구,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31-40세,상해없음,보행자,남,12세 이하,경상
2019092027,2019년 6월,주간,경상북도 포항시 북구,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,여,41-50세,상해없음,보행자,여,12세 이하,경상
2019118500,2019년 7월,주간,경상북도 포항시 남구,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,여,51-60세,상해없음,보행자,남,12세 이하,경상
2019176086,2019년 10월,주간,경상북도 포항시 북구,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,건조,맑음,단일로 - 기타,승용,여,21-30세,상해없음,보행자,여,12세 이하,경상
2020076347,2020년 5월,주간,경상북도 포항시 남구,경상사고,0,0,3,2,차대사람 - 기타,보행자보호의무위반,건조,맑음,교차로 - 교차로안,승용,남,21-30세,상해없음,보행자,남,31-40세,경상
2021042998,2021년 3월,야간,경상북도 포항시 북구,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,보행자,여,12세 이하,중상
2021065377,2021년 5월,주간,경상북도 포항시 남구,경상사고,0,0,1,0,차대사람 - 횡단중,기타,젖음/습기,비,단일로 - 지하차도(도로)내,승용,여,51-60세,상해없음,보행자,여,12세 이하,경상
2021093084,2021년 6월,주간,경상북도 포항시 북구,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,41-50세,상해없음,보행자,남,12세 이하,경상
2021154189,2021년 10월,주간,경상북도 포항시 남구,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,31-40세,상해없음,보행자,여,12세 이하,경상
