구분번호,발생년월,주야,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령대,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령대,피해운전자 상해정도
2016034081,2016년 3월,주간,경상북도 포항시 남구,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,여,51-60세,상해없음,보행자,남,12세 이하,경상
2016038242,2016년 3월,주간,경상북도 포항시 남구,중상사고,0,1,0,0,차대사람 - 횡단중,기타,건조,맑음,단일로 - 횡단보도부근,승용,여,31-40세,상해없음,보행자,여,12세 이하,중상
2016183118,2016년 11월,주간,경상북도 포항시 북구,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,41-50세,상해없음,보행자,남,12세 이하,경상
2017175441,2017년 10월,주간,경상북도 포항시 남구,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,61-64세,상해없음,보행자,남,12세 이하,경상
2018087219,2018년 6월,주간,경상북도 포항시 남구,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,여,51-60세,상해없음,보행자,여,12세 이하,중상
2018170613,2018년 10월,주간,경상북도 포항시 북구,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,41-50세,상해없음,보행자,남,12세 이하,경상
2018175381,2018년 10월,야간,경상북도 포항시 남구,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,여,41-50세,상해없음,보행자,여,12세 이하,중상
