구분번호,발생년월,주야,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령대,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령대,피해운전자 상해정도
2022034124,2022년 3월,주간,경상북도 포항시 남구,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,41-50세,상해없음,보행자,여,12세 이하,부상신고
2022059736,2022년 5월,주간,경상북도 포항시 남구,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,41-50세,상해없음,보행자,남,12세 이하,중상
2022115282,2022년 8월,주간,경상북도 포항시 북구,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,젖음/습기,비,교차로 - 교차로횡단보도내,승용,여,41-50세,상해없음,보행자,여,12세 이하,경상
2022167270,2022년 11월,주간,경상북도 포항시 북구,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,61-64세,상해없음,보행자,남,12세 이하,경상
2023194942,2023년 12월,주간,경상북도 포항시 남구,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 지하차도(도로)내,개인형이동수단(PM),남,20세 이하,상해없음,보행자,여,12세 이하,부상신고
2024036152,2024년 3월,야간,경상북도 포항시 북구,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,41-50세,기타불명,보행자,남,12세 이하,중상
2024100196,2024년 7월,주간,경상북도 포항시 남구,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,건조,맑음,기타 - 기타,승용,남,51-60세,상해없음,보행자,남,12세 이하,경상
2024103492,2024년 7월,야간,경상북도 포항시 남구,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,흐림,교차로 - 교차로안,승용,여,41-50세,상해없음,보행자,여,12세 이하,중상
2024123040,2024년 8월,주간,경상북도 포항시 남구,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,21-30세,상해없음,보행자,여,12세 이하,경상
2024167727,2024년 11월,주간,경상북도 포항시 남구,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,65세 이상,상해없음,보행자,남,12세 이하,경상
2024177436,2024년 11월,주간,경상북도 포항시 남구,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,이륜,남,51-60세,상해없음,보행자,남,12세 이하,경상
2024183635,2024년 12월,주간,경상북도 포항시 북구,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,단일로 - 기타,승용,여,41-50세,상해없음,보행자,남,12세 이하,경상
